dcid,sentence
Amount_EconomicActivity_Factory_Input_TobaccoProducts,Total input amount of tobacco products factory
Amount_EconomicActivity_Factory_Input_WasteAndRecovery,Total input amount of waste and recovery factory
Amount_EconomicActivity_Factory_Input_WearingApparel,Total input amount of wearing apparel factory
Amount_EconomicActivity_Factory_Input_WoodAndCorkProducts,Total input amount of wood and cork products factory
Amount_EconomicActivity_Factory_Output,Total output of factory
Amount_EconomicActivity_Factory_Output_BasicMetals,Total output amount of basic metals factory
Amount_EconomicActivity_Factory_Output_Beverages,Total output amount of beverages factory
Amount_EconomicActivity_Factory_Output_ChemicalProducts,Total output amount of chemical products factory
Amount_EconomicActivity_Factory_Output_CokeAndPetroleum,Total output amount of coke and petroleum factory
Amount_EconomicActivity_Factory_Output_CottonGinningAndSeeds,Total output amount of cotton ginning and seeds factory
Amount_EconomicActivity_Factory_Output_ElectricalEquipment,Total output amount of electrical equipment factory
Amount_EconomicActivity_Factory_Output_ElectronicsAndOpticals,Total output amount of electronics and optics factory
Amount_EconomicActivity_Factory_Output_FabricatedMetalProducts,Total output amount of fabricated metal products factory
Amount_EconomicActivity_Factory_Output_FoodProducts,Total output amount of food products factory
Amount_EconomicActivity_Factory_Output_Furniture,Total output amount of furniture factory
Amount_EconomicActivity_Factory_Output_LeatherProducts,Total output amount of leather products factory
Amount_EconomicActivity_Factory_Output_MOSPIOtherIndustries,Total output amount of mospi_ other industries factory
Amount_EconomicActivity_Factory_Output_MOSPIOtherManufacturing,Total output amount of mospi_ other manufacturing factory
Amount_EconomicActivity_Factory_Output_MOSPIOtherTransportEquipment,Total output amount of mospi_ other transport equipment factory
Amount_EconomicActivity_Factory_Output_MachineryNEC,Total output amount of machinery NEC factory
Amount_EconomicActivity_Factory_Output_MachineryRepair,Total output amount of machinery repair factory
Amount_EconomicActivity_Factory_Output_MotorVehiclesAndTrailers,Total output amount of motor vehicles and trailers factory
Amount_EconomicActivity_Factory_Output_NonMetallicMinerals,Total output amount of non metallic minerals factory
Amount_EconomicActivity_Factory_Output_PaperAndPaperProducts,Total output amount of paper and paper products factory
Amount_EconomicActivity_Factory_Output_Pharmaceuticals,Total output amount of pharmaceuticals factory
Amount_EconomicActivity_Factory_Output_PrintingAndMedia,Total output amount of printing and media factory
Amount_EconomicActivity_Factory_Output_PublishingActivities,Total output amount of publishing activities factory
Amount_EconomicActivity_Factory_Output_RubberAndPlastics,Total output amount of rubber and plastics factory
Amount_EconomicActivity_Factory_Output_Rural,Total output for rural factory workers
Amount_EconomicActivity_Factory_Output_SaltProduction,Total output amount of salt production factory
Amount_EconomicActivity_Factory_Output_Textiles,Total output amount of textiles factory
Amount_EconomicActivity_Factory_Output_TobaccoProducts,Total output amount of tobacco products factory
Amount_EconomicActivity_Factory_Output_WasteAndRecovery,Total output amount of waste and recovery factory
Amount_EconomicActivity_Factory_Output_WearingApparel,Total output amount of wearing apparel factory
Amount_EconomicActivity_Factory_Output_WoodAndCorkProducts,Total output amount of wood and cork products factory
Count_ConsumerUnit,Number of consumer units
Count_Establishment_Factory,Number of factories
Count_Establishment_Factory_BasicMetals,Number of basic metals factories
Count_Establishment_Factory_Beverages,Number of beverages factories
Count_Establishment_Factory_ChemicalProducts,Number of chemical products factories
Count_Establishment_Factory_CokeAndPetroleum,Number of coke and petroleum factories
Count_Establishment_Factory_CottonGinningAndSeeds,Number of cotton ginning and seeds factories
Count_Establishment_Factory_ElectricalEquipment,Number of electrical equipment factories
Count_Establishment_Factory_ElectronicsAndOpticals,Number of electronics and opticals factories
Count_Establishment_Factory_FabricatedMetalProducts,Number of fabricated metal products factories
Count_Establishment_Factory_FoodProducts,Number of food products factories
Count_Establishment_Factory_Furniture,Number of furniture factories
Count_Establishment_Factory_LeatherProducts,Number of leather products factories
Count_Establishment_Factory_MOSPIOtherIndustries,Number of other industries factories
Count_Establishment_Factory_MOSPIOtherManufacturing,Number of other manufacturing factories
Count_Establishment_Factory_MOSPIOtherTransportEquipment,Number of other transport equipment factories
Count_Establishment_Factory_MachineryNEC,Number of machinery NEC factories
Count_Establishment_Factory_MachineryRepair,Number of machinery repair factories
Count_Establishment_Factory_MotorVehiclesAndTrailers,Number of motor vehicles and trailers factories
Count_Establishment_Factory_NonMetallicMinerals,Number of non metallic minerals factories
Count_Establishment_Factory_PaperAndPaperProducts,Number of paper and paper products factories
Count_Establishment_Factory_Pharmaceuticals,Number of pharmaceuticals factories
Count_Establishment_Factory_PrintingAndMedia,Number of printing and media factories
Count_Establishment_Factory_PublishingActivities,Number of publishing activities factories
Count_Establishment_Factory_RubberAndPlastics,Number of rubber and plastics factories
Count_Establishment_Factory_Rural,Number of rural factories
Count_Establishment_Factory_SaltProduction,Number of salt production factories
Count_Establishment_Factory_Textiles,Number of textiles factories
Count_Establishment_Factory_TobaccoProducts,Number of tobacco products factories
Count_Establishment_Factory_WasteAndRecovery,Number of waste and recovery factories
Count_Establishment_Factory_WearingApparel,Number of wearing apparel factories
Count_Establishment_Factory_WoodAndCorkProducts,Number of wood and cork products factories
Count_Person_Factory_TotalEngaged,Number of factory workers
Count_Person_Factory_TotalEngaged_AsAFractionOf_Count_Establishment_Factory,Mean number of factory employees per factory
Count_Person_Factory_TotalEngaged_Rural,Number of rural factory workers
Count_Worker_Factory,Number of workers in factories
Daily_Mean_DietaryIntake_Energy_Rural_AsAFractionOf_Count_ConsumerUnit,Average daily calorie intake per consumer unit in rural areas
Daily_Mean_DietaryIntake_Energy_Rural_AsAFractionOf_Count_Person,Average daily calorie intake per person in rural areas
Daily_Mean_DietaryIntake_Energy_Urban_AsAFractionOf_Count_ConsumerUnit,Average daily calorie intake per consumer unit in urban areas
Daily_Mean_DietaryIntake_Energy_Urban_AsAFractionOf_Count_Person,Average daily calorie intake per person in urban areas
Daily_Mean_DietaryIntake_Fat_Rural_AsAFractionOf_Count_ConsumerUnit,Average daily fat intake per consumer unit in rural areas
Daily_Mean_DietaryIntake_Fat_Rural_AsAFractionOf_Count_Person,Average daily fat intake per person in rural areas
Daily_Mean_DietaryIntake_Fat_Urban_AsAFractionOf_Count_ConsumerUnit,Average daily fat intake per consumer unit in urban areas
Daily_Mean_DietaryIntake_Fat_Urban_AsAFractionOf_Count_Person,Average daily fat intake per person in urban areas
Daily_Mean_DietaryIntake_Protein_Rural_AsAFractionOf_Count_ConsumerUnit,Average daily protein intake per consumer unit in rural areas
Daily_Mean_DietaryIntake_Protein_Rural_AsAFractionOf_Count_Person,Average daily protein intake per person in rural areas
Daily_Mean_DietaryIntake_Protein_Urban_AsAFractionOf_Count_ConsumerUnit,Average daily protein intake per consumer unit in urban areas
Daily_Mean_DietaryIntake_Protein_Urban_AsAFractionOf_Count_Person,Average daily protein intake per person in urban areas
DietaryIntake_Energy_Cereal_Rural_AsAFractionOf_DietaryIntake_Energy_Rural,Percentage of energy intake from cereal in rural area
DietaryIntake_Energy_Cereal_Urban_AsAFractionOf_DietaryIntake_Energy_Urban,Percentage of energy intake from cereal in urban area
DietaryIntake_Energy_Rural,Energy intake in rural area
DietaryIntake_Energy_Urban,Energy intake in urban area
DietaryIntake_Fat_Rural,Fat intake in rural area
DietaryIntake_Fat_Urban,Fat intake in urban area
DietaryIntake_Protein_Cereal_Rural_AsAFractionOf_DietaryIntake_Protein_Rural,Percentage of protein intake from cereal in rural area
DietaryIntake_Protein_Cereal_Urban_AsAFractionOf_DietaryIntake_Protein_Urban,Percentage of protein intake from cereal in urban area
DietaryIntake_Protein_EggFishMeat_Rural_AsAFractionOf_DietaryIntake_Protein_Rural,"Percentage of protein intake from egg,fish and meat in rural area"
DietaryIntake_Protein_EggFishMeat_Urban_AsAFractionOf_DietaryIntake_Protein_Urban,"Percentage of protein intake from egg,fish and meat in urban area"
DietaryIntake_Protein_Milk_Rural_AsAFractionOf_DietaryIntake_Protein_Rural,Percentage of protein intake from milk in rural area
DietaryIntake_Protein_Milk_Urban_AsAFractionOf_DietaryIntake_Protein_Urban,Percentage of protein intake from milk in urban area
DietaryIntake_Protein_NIIOtherFood_Rural_AsAFractionOf_DietaryIntake_Protein_Rural,Percentage of protein intake from other food sources in rural area
DietaryIntake_Protein_NIIOtherFood_Urban_AsAFractionOf_DietaryIntake_Protein_Urban,Percentage of protein intake from other food sources in urban area
DietaryIntake_Protein_Pulse_Rural_AsAFractionOf_DietaryIntake_Protein_Rural,Percentage of protein intake from pulses in rural area
DietaryIntake_Protein_Pulse_Urban_AsAFractionOf_DietaryIntake_Protein_Urban,Percentage of protein intake from pulses in urban area
