dcid,sentence
GrowthRate_Exports_EconomicActivity_CottonWasteIncludingYarnWasteAndGarnettedStock,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 52 02
GrowthRate_Exports_EconomicActivity_CottonYarnOtherThanSewingThreadContaining85OrMore,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 52 05
GrowthRate_Exports_EconomicActivity_CottonYarnOtherThanSewingThreadContainingLessThan,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 52 06
GrowthRate_Exports_EconomicActivity_CottonYarnOtherThanSewingThreadPutUpForRetailSale,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 52 07
GrowthRate_Exports_EconomicActivity_CruiseShipsExcursionBoatsFerryBoatsCargoShips,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 89 01
GrowthRate_Exports_EconomicActivity_CrustaceansInShellOrNotLiveFreshChilledFrozenDried,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 03 06
GrowthRate_Exports_EconomicActivity_CrustaceansMolluscsAndOtherAquaticInvertebrates,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 16 05
GrowthRate_Exports_EconomicActivity_CucumbersAndGherkinsFreshOrChilled,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 07 07
GrowthRate_Exports_EconomicActivity_CurtainsIncludingDrapesAndInteriorBlindsCurtai6303,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 63 03
GrowthRate_Exports_EconomicActivity_CutleryOtherArticlesEGHairClippersButchersOr,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 82 14
GrowthRate_Exports_EconomicActivity_CutlerySpoonsForksLadlesSkimmersCakeServersFish,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 82 15
GrowthRate_Exports_EconomicActivity_CyanidesCyanideOxidesAndComplexCyanides,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 28 37
GrowthRate_Exports_EconomicActivity_CyclicHydrocarbons,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 29 02
GrowthRate_Exports_EconomicActivity_DairyProduceBirdsEggsNaturalHoneyEdibleProductsOf,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 04
GrowthRate_Exports_EconomicActivity_DatesFigsPineapplesAvocadosGuavasMangoesAnd,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 08 04
GrowthRate_Exports_EconomicActivity_DegrasResiduesResultingFromTheTreatmentOfFatty1522,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 15 22
GrowthRate_Exports_EconomicActivity_DensifiedWoodInBlocksPlatesStripsOrProfileShap4413,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 44 13
GrowthRate_Exports_EconomicActivity_DerricksCranesIncludingCableCranesMobileLifting,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 84 26
GrowthRate_Exports_EconomicActivity_DextrinsAndOtherModifiedStarchesEGPregelatinisedOr,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 35 05
GrowthRate_Exports_EconomicActivity_DiamondsWhetherOrNotWorkedButNotMountedOrSet7102,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 71 02
GrowthRate_Exports_EconomicActivity_DiazoAzoOrAzoxyCompounds2927,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 29 27
GrowthRate_Exports_EconomicActivity_DiphosphorusPentaoxidePhosphoricAcidPolyphosphoric,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 28 09
GrowthRate_Exports_EconomicActivity_DiscsTapesSolidStateNonVolatileStorageDevicesSmart,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 85 23
GrowthRate_Exports_EconomicActivity_DishWashingMachinesMachineryForCleaningDrying,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 84 22
GrowthRate_Exports_EconomicActivity_DithionitesAndSulphoxylates,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 28 31
GrowthRate_Exports_EconomicActivity_DolomiteWhetherOrNotCalcinedOrSinteredIncluding,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 25 18
GrowthRate_Exports_EconomicActivity_DrawingMarkingOutMathematicalCalculating,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 90 17
GrowthRate_Exports_EconomicActivity_DriersPrepared3211,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 32 11
GrowthRate_Exports_EconomicActivity_DustAndPowderOfNaturalOrSyntheticPreciousOrSemi,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 71 05
GrowthRate_Exports_EconomicActivity_DutiableImportByPostOrAirForPersona,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 98 04
GrowthRate_Exports_EconomicActivity_DutiablePassengersCrewsBaggage9803,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 98 03
GrowthRate_Exports_EconomicActivity_DutiableShipsAircraftsStore,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 98 05
GrowthRate_Exports_EconomicActivity_EdibleOffalOfBovineAnimalsSwineSheepGoatsHorses,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 02 06
GrowthRate_Exports_EconomicActivity_ElectricAccumulatorsIncludingSeparatorsTherefor,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 85 07
GrowthRate_Exports_EconomicActivity_ElectricElectricallyHeatedGasSolderingBrazing,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 85 15
GrowthRate_Exports_EconomicActivity_ElectricGeneratingSetsAndRotaryConverters,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 85 02
GrowthRate_Exports_EconomicActivity_ElectricMotorsAndGeneratorsExcludingGeneratingSets,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 85 01
GrowthRate_Exports_EconomicActivity_ElectricMotorsAndGeneratorsPartsSuitableForUse8503,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 85 03
GrowthRate_Exports_EconomicActivity_ElectricTransformersStaticConvertersEGRectifiers,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 85 04
GrowthRate_Exports_EconomicActivity_ElectricWaterSpaceSoilHeatersElectroThermicHair,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 85 16
GrowthRate_Exports_EconomicActivity_ElectricalAndElectronicWasteAndScrap,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 85 49
GrowthRate_Exports_EconomicActivity_ElectricalApparatusForSwitchingProtecting8535,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 85 35
GrowthRate_Exports_EconomicActivity_ElectricalApparatusForSwitchingProtecting8536,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 85 36
GrowthRate_Exports_EconomicActivity_ElectricalApparatusPartsSuitableForUseSolelyOr8538,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 85 38
GrowthRate_Exports_EconomicActivity_ElectricalCapacitorsFixedVariableOrAdjustablePre,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 85 32
GrowthRate_Exports_EconomicActivity_ElectricalEnergy2716,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 27 16
GrowthRate_Exports_EconomicActivity_ElectricalInsulatorsOfAnyMaterial,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 85 46
GrowthRate_Exports_EconomicActivity_ElectricalMachineryAndEquipmentAndPartsThereof,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 85
GrowthRate_Exports_EconomicActivity_ElectricalMachinesAndApparatusHavingIndividual8543,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 85 43
GrowthRate_Exports_EconomicActivity_ElectricalPartsOfMachineryOrApparatusNotSpecif8548,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 85 48
GrowthRate_Exports_EconomicActivity_ElectricalResistorsIncludingRheostatsAnd,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 85 33
GrowthRate_Exports_EconomicActivity_ElectroMagnetsPermanentMagnetsIntendedPermanent,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 85 05
GrowthRate_Exports_EconomicActivity_ElectroMechanicalDomesticAppliancesWithSelf8509,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 85 09
GrowthRate_Exports_EconomicActivity_ElectronicIntegratedCircuits,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 85 42
GrowthRate_Exports_EconomicActivity_EmbroideryInThePieceInStripsOrInMotifs,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 58 10
GrowthRate_Exports_EconomicActivity_EnginesAndMotorsNECEGReactionEnginesHydraulicPower,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 84 12
GrowthRate_Exports_EconomicActivity_EngravingsPrintsAndLithographsOriginal,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 97 02
GrowthRate_Exports_EconomicActivity_EnvelopesLetterCardsPlainPostcardsAnd,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 48 17
GrowthRate_Exports_EconomicActivity_EnzymesPreparedEnzymesNotElsewhereSpecifiedOr,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 35 07
GrowthRate_Exports_EconomicActivity_EpoxidesEpoxyalcoholsEpoxyphenolsAndEpoxyether2910,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 29 10
GrowthRate_Exports_EconomicActivity_EssentialOilsAndResinoidsPerfumeryCosmeticOrToilet,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 33
GrowthRate_Exports_EconomicActivity_EstersOfOtherInorganicAcidsOfNonMetalsOtherThanOf,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 29 20
GrowthRate_Exports_EconomicActivity_EstersPhosphoricAndTheirSaltsIncluding2919,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 29 19
GrowthRate_Exports_EconomicActivity_EthersEtherAlcoholsEtherPhenolsEtherAlcoholPhenols,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 29 09
GrowthRate_Exports_EconomicActivity_EthylAlcoholUndenaturedOfAnAlcoholicStrengthBy2207,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 22 07
GrowthRate_Exports_EconomicActivity_EthylAlcoholUndenaturedOfAnAlcoholicStrengthBy2208,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 22 08
GrowthRate_Exports_EconomicActivity_ExplosivesPropellentPowders3601,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 36 01
GrowthRate_Exports_EconomicActivity_ExplosivesPyrotechnicProductsMatchesPyrophoric,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 36
GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Rate of change of export from India
GrowthRate_Exports_EconomicActivity_ExtractsAndJuicesOfMeatFishOrCrustaceansMollus1603,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 16 03
GrowthRate_Exports_EconomicActivity_ExtractsEssencesConcentratesOfCoffeeTeaOrMate,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 21 01
GrowthRate_Exports_EconomicActivity_FabricatedAsbestosFibresMixturesWithABasisOf,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 68 12
GrowthRate_Exports_EconomicActivity_FabricsKnittedOrCrocheted,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 60
GrowthRate_Exports_EconomicActivity_FabricsKnittedOrCrochetedFabricsOfAWidthExceed6004,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 60 04
GrowthRate_Exports_EconomicActivity_FabricsKnittedOrCrochetedFabricsOtherThanThose6003,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 60 03
GrowthRate_Exports_EconomicActivity_FabricsKnittedOrCrochetedFabricsOtherThanThose6006,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 60 06
GrowthRate_Exports_EconomicActivity_FabricsKnittedOrCrochetedOtherThanThoseOfHeadi6002,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 60 02
GrowthRate_Exports_EconomicActivity_FabricsNarrowWovenOtherThanGoodsOfHeading5807,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 58 06
GrowthRate_Exports_EconomicActivity_FabricsPileFabricsIncludingLongPileFabricsAndTerry,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 60 01
GrowthRate_Exports_EconomicActivity_FabricsSpecialWovenFabricsTuftedTextileFabricsLace,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 58
GrowthRate_Exports_EconomicActivity_FabricsTerryTowellingAndSimilarWovenTerryFabrics,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 58 02
GrowthRate_Exports_EconomicActivity_FabricsWarpKnitIncludingThoseMadeOnGalloonKnit6005,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 60 05
GrowthRate_Exports_EconomicActivity_FabricsWovenOfMetalThreadAndMetallisedYarnOf5809,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 58 09
GrowthRate_Exports_EconomicActivity_FabricsWovenPileAndChenilleFabricsOtherThanFabrics,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 58 01
GrowthRate_Exports_EconomicActivity_FatsAndOilsAndTheirFractionsOfFishOrMarineMammals,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 15 04
GrowthRate_Exports_EconomicActivity_FatsOfBovineAnimalsSheepOrGoatsOtherThanThoseOf,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 15 02
GrowthRate_Exports_EconomicActivity_FeathersAndDownPreparedAndArticlesMadeOfFeatherOr,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 67
GrowthRate_Exports_EconomicActivity_FeldsparLeuciteNephelineAndNephelineSyenite,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 25 29
GrowthRate_Exports_EconomicActivity_FeltWhetherOrNotImpregnatedCoatedCoveredOr,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 56 02
GrowthRate_Exports_EconomicActivity_FermentedBeveragesNECInChapter22EGCiderPerryMead,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 22 06
GrowthRate_Exports_EconomicActivity_FerroAlloys,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 72 02
GrowthRate_Exports_EconomicActivity_FerroCeriumAndOtherPyrophoricAlloysInAllForms3606,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 36 06
GrowthRate_Exports_EconomicActivity_FerrousProductsObtainedByDirectReductionOfIron7203,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 72 03
GrowthRate_Exports_EconomicActivity_FerrousWasteAndScrapRemeltingScrapIngotsOfIronOr,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 72 04
GrowthRate_Exports_EconomicActivity_Fertilizers,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 31
GrowthRate_Exports_EconomicActivity_FertilizersAnimalOrVegetableWhetherOrNotMixed3101,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 31 01
GrowthRate_Exports_EconomicActivity_FertilizersMineralOrChemicalContaining2Or3OfThe,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 31 05
GrowthRate_Exports_EconomicActivity_FertilizersMineralOrChemicalNitrogenous,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 31 02
GrowthRate_Exports_EconomicActivity_FertilizersMineralOrChemicalPhosphatic3103,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 31 03
GrowthRate_Exports_EconomicActivity_FertilizersMineralOrChemicalPotassic,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 31 04
GrowthRate_Exports_EconomicActivity_FestiveCarnivalOrOtherEntertainmentArticles9505,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 95 05
GrowthRate_Exports_EconomicActivity_FibreboardOfWoodOrOtherLigneousMaterialsWhetherOr,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 44 11
GrowthRate_Exports_EconomicActivity_FilterBlocksSlabsAndPlatesOfPaperPulp,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 48 12
GrowthRate_Exports_EconomicActivity_FineOrCoarseAnimalHairNotCardedOrCombed,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 51 02
GrowthRate_Exports_EconomicActivity_FinishingAgentsDyeCarriersToAccelerateTheDyeing,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 38 09
GrowthRate_Exports_EconomicActivity_FirearmsEGSpringAirOrGasGunsAndPistolsTruncheo9304,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 93 04
GrowthRate_Exports_EconomicActivity_FirearmsOtherSimilarDevicesEGSportingShotgunsAnd,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 93 03
GrowthRate_Exports_EconomicActivity_FirearmsPartsAndAccessoriesOfArticlesOfHeadingNo,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 93 05
GrowthRate_Exports_EconomicActivity_FireworksSignallingFlaresRainRocketsFogSignalsAnd,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 36 04
GrowthRate_Exports_EconomicActivity_FishAndCrustaceansMolluscsAndOtherAquatic,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 03
GrowthRate_Exports_EconomicActivity_FishDriedSaltedOrInBrineSmokedFishWhetherOrNot,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 03 05
GrowthRate_Exports_EconomicActivity_FishFilletsAndOtherFishMeatWhetherOrNotMincedFresh,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 03 04
GrowthRate_Exports_EconomicActivity_FishFreshOrChilledExcludingFishFilletsAndOtherFish,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 03 02
GrowthRate_Exports_EconomicActivity_FishFrozenExcludingFishFilletsAndOtherFishMeatOf,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 03 03
GrowthRate_Exports_EconomicActivity_FishLive,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 03 01
GrowthRate_Exports_EconomicActivity_FishingRodsFishHooksAndOtherLineFishingTackleFish,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 95 07
GrowthRate_Exports_EconomicActivity_FishingVesselsFactoryShipsAndOtherVesselsFor8902,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 89 02
GrowthRate_Exports_EconomicActivity_FixedVegetableOrMicrobialFatsAndOilsNECInChapter15,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 15 15
GrowthRate_Exports_EconomicActivity_FlatPanelDisplayModulesWhetherOrNotIncorporati8524,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 85 24
GrowthRate_Exports_EconomicActivity_FlaxRawOrProcessedButNotSpunFlaxTowAndWaste,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 53 01
GrowthRate_Exports_EconomicActivity_FlaxYarn,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 53 06
GrowthRate_Exports_EconomicActivity_FloorCoveringsOfPlasticsSelfAdhesiveOrNotInRollsOr,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 39 18
GrowthRate_Exports_EconomicActivity_FlourMealAndPowderOfTheDriedLeguminousVegetabl1106,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 11 06
GrowthRate_Exports_EconomicActivity_FlourMealPowderFlakesGranulesAndPelletsOfPotatoes,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 11 05
GrowthRate_Exports_EconomicActivity_FloursAndMealsOfOilSeedsOrOleaginousFruitsOther,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 12 08
GrowthRate_Exports_EconomicActivity_FloursMealAndPelletsOfMeatOrMeatOffalOfFishOrOf,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 23 01
GrowthRate_Exports_EconomicActivity_FloursMealsAndPelletsOfFishCrustaceansMolluscsAnd,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 03 09
GrowthRate_Exports_EconomicActivity_FlowersCutFlowersAndFlowerBudsOfAKindSuitableF0603,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 06 03
GrowthRate_Exports_EconomicActivity_FlowersFoliageAndFruitArtificialAndPartsThereo6702,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 67 02
GrowthRate_Exports_EconomicActivity_FluoridesFluorosilicatesFluoroaluminatesAndOth2826,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 28 26
GrowthRate_Exports_EconomicActivity_FluorineChlorineBromineAndIodine,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 28 01
GrowthRate_Exports_EconomicActivity_FoliageBranchesAndOtherPartsOfPlantsWithoutFlo0604,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 06 04
GrowthRate_Exports_EconomicActivity_FoodIndustriesResiduesAndWastesThereofPrepared,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 23
GrowthRate_Exports_EconomicActivity_FoodPreparationsNotElsewhereSpecifiedOrIncluded,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 21 06
GrowthRate_Exports_EconomicActivity_FootwearGaitersAndTheLikePartsOfSuchArticles,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 64
GrowthRate_Exports_EconomicActivity_FootwearOtherFootwearNECInChapter64,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 64 05
GrowthRate_Exports_EconomicActivity_FootwearPartsOfFootwearRemovableInSolesHeel,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 64 06
GrowthRate_Exports_EconomicActivity_FootwearWaterproofWithOuterSolesAndUppersOfRubber,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 64 01
GrowthRate_Exports_EconomicActivity_FootwearWithOuterSolesAndUppersOfRubberOrPlast6402,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 64 02
GrowthRate_Exports_EconomicActivity_FootwearWithOuterSolesOfRubberPlasticsLeatherO6403,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 64 03
GrowthRate_Exports_EconomicActivity_FootwearWithOuterSolesOfRubberPlasticsLeatherO6404,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 64 04
GrowthRate_Exports_EconomicActivity_ForkLiftAndOtherWorksTrucksFittedWithLiftingOr8427,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 84 27
GrowthRate_Exports_EconomicActivity_FramesAndMountingsForSpectaclesGogglesOrTheLikeAnd,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 90 03
GrowthRate_Exports_EconomicActivity_FrictionMaterialAndArticlesThereofEGSheetsRoll6813,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 68 13
GrowthRate_Exports_EconomicActivity_FruitAndNutsEdiblePeelOfCitrusFruitOrMelons,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 08
GrowthRate_Exports_EconomicActivity_FruitAndNutsProvisionallyPreservedButUnsuitableIn,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 08 12
GrowthRate_Exports_EconomicActivity_FruitAndNutsUncookedOrCookedBySteamingOrBoilingIn,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 08 11
GrowthRate_Exports_EconomicActivity_FruitDriedOtherThanThatOfHeadingNo0801To0806,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 08 13
GrowthRate_Exports_EconomicActivity_FruitFreshNECInChapter08,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 08 10
GrowthRate_Exports_EconomicActivity_FruitNutsAndOtherEdiblePartsOfPlantsPreparedOr2008,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 20 08
GrowthRate_Exports_EconomicActivity_FruitOrNutJuicesIncludingGrapeMustAndCoconutWater,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 20 09
GrowthRate_Exports_EconomicActivity_FuelWoodInLogsBilletsTwigsFaggotsOrSimilarForms,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 44 01
GrowthRate_Exports_EconomicActivity_FurnaceBurnersForLiquidFuelForPulverisedSolidFuel,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 84 16
GrowthRate_Exports_EconomicActivity_FurnacesAndOvensIndustrialOrLaboratoryIncluding,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 84 17
GrowthRate_Exports_EconomicActivity_FurnishingArticlesExcludingThoseOfHeadingNo9404,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 63 04
GrowthRate_Exports_EconomicActivity_FurnitureAndPartsThereofNECInChapter94,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 94 03
GrowthRate_Exports_EconomicActivity_FurnitureBeddingMattressesMattressSupportsCushions,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 94
GrowthRate_Exports_EconomicActivity_FurnitureMedicalSurgicalDentalOrVeterinaryEG,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 94 02
GrowthRate_Exports_EconomicActivity_FurskinsAndArtificialFurManufacturesThereof,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 43
GrowthRate_Exports_EconomicActivity_GarmentsAndClothingAccessoriesBabiesKnittedOr,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 61 11
GrowthRate_Exports_EconomicActivity_GarmentsAndClothingAccessoriesBabiesNotKnittedOr,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 62 09
GrowthRate_Exports_EconomicActivity_GarmentsKnittedOrCrochetedNECInChapter61,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 61 14
GrowthRate_Exports_EconomicActivity_GarmentsMadeUpOfFabricsOfHeadingNo5602560359035906,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 62 10
GrowthRate_Exports_EconomicActivity_GarmentsMadeUpOfKnittedOrCrochetedFabricsOfHea6113,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 61 13
GrowthRate_Exports_EconomicActivity_GasLiquidOrElectricitySupplyOrProductionMeters,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 90 28
GrowthRate_Exports_EconomicActivity_GasketsAndSimilarJointsOfMetalSheetingCombined8484,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 84 84
GrowthRate_Exports_EconomicActivity_GauzeOtherThanNarrowFabricsOfHeadingNo58065803,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 58 03
GrowthRate_Exports_EconomicActivity_GelatinIncludingGelatinInRectangularSheetsWhet3503,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 35 03
GrowthRate_Exports_EconomicActivity_GeneratorsForProducerOrWaterGasWithOrWithoutTheir,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 84 05
GrowthRate_Exports_EconomicActivity_GingerSaffronTumericCurcumaThymeBayLeavesCurryAnd,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 09 10
GrowthRate_Exports_EconomicActivity_GlandsAndOtherOrgansExtractsSecretionsThereofFor,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 30 01
GrowthRate_Exports_EconomicActivity_GlassAndGlassware,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 70
GrowthRate_Exports_EconomicActivity_GlassArticlesNECInChapter707020,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 70 20
GrowthRate_Exports_EconomicActivity_GlassBeadsImitationPearlsPreciousOrSemiPrecious,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 70 18
GrowthRate_Exports_EconomicActivity_GlassCastGlassAndRolledGlassInSheetsOrProfiles,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 70 03
GrowthRate_Exports_EconomicActivity_GlassCulletAndOtherWasteAndScrapOfGlassExcludi7001,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 70 01
GrowthRate_Exports_EconomicActivity_GlassDrawnGlassAndBlownGlassInSheetsWhetherOrNot,Growth Rate Exports Economic Activity: Traded Commodity Hscode/ 70 04
