observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2011,wikidataId/Q1195,dcid:NDAP_Census2011_Population_Female,1475057,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1195,dcid:NDAP_Census2011_Literate_Total,1785005,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1195,dcid:NDAP_Census2011_Literate_Male,913879,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1195,dcid:NDAP_Census2011_Literate_Female,871126,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1195,dcid:NDAP_Census2011_SC_Population,17355,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1195,dcid:NDAP_Census2011_ST_Population,2555861,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1195,dcid:NDAP_Census2011_Workers_Total,1185619,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1195,dcid:NDAP_Census2011_Children_0_6,568536,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1164,dcid:NDAP_Census2011_Population_Total,31205576,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1164,dcid:NDAP_Census2011_Population_Male,15939443,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1164,dcid:NDAP_Census2011_Population_Female,15266133,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1164,dcid:NDAP_Census2011_Literate_Total,19177977,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1164,dcid:NDAP_Census2011_Literate_Male,10568639,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1164,dcid:NDAP_Census2011_Literate_Female,8609338,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1164,dcid:NDAP_Census2011_SC_Population,2231321,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1164,dcid:NDAP_Census2011_ST_Population,3884371,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1164,dcid:NDAP_Census2011_Workers_Total,11969690,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1164,dcid:NDAP_Census2011_Children_0_6,4638130,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1356,dcid:NDAP_Census2011_Population_Total,91276115,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1356,dcid:NDAP_Census2011_Population_Male,46809027,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1356,dcid:NDAP_Census2011_Population_Female,44467088,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1356,dcid:NDAP_Census2011_Literate_Total,61538281,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1356,dcid:NDAP_Census2011_Literate_Male,33818810,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1356,dcid:NDAP_Census2011_Literate_Female,27719471,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1356,dcid:NDAP_Census2011_SC_Population,21463270,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1356,dcid:NDAP_Census2011_ST_Population,5296953,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1356,dcid:NDAP_Census2011_Workers_Total,34756355,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1356,dcid:NDAP_Census2011_Children_0_6,10581466,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1184,dcid:NDAP_Census2011_Population_Total,32988134,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1184,dcid:NDAP_Census2011_Population_Male,16930315,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1184,dcid:NDAP_Census2011_Population_Female,16057819,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1184,dcid:NDAP_Census2011_Literate_Total,18328069,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1184,dcid:NDAP_Census2011_Literate_Male,10882519,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1184,dcid:NDAP_Census2011_Literate_Female,7445550,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1184,dcid:NDAP_Census2011_SC_Population,3985644,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1184,dcid:NDAP_Census2011_ST_Population,8645042,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1184,dcid:NDAP_Census2011_Workers_Total,13098274,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1184,dcid:NDAP_Census2011_Children_0_6,5389495,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1466991,dcid:NDAP_Census2011_Population_Total,41974218,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1466991,dcid:NDAP_Census2011_Population_Male,21212136,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1466991,dcid:NDAP_Census2011_Population_Female,20762082,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1466991,dcid:NDAP_Census2011_Literate_Total,26742595,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1466991,dcid:NDAP_Census2011_Literate_Male,15089681,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1466991,dcid:NDAP_Census2011_Literate_Female,11652914,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1466991,dcid:NDAP_Census2011_SC_Population,7188463,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1466991,dcid:NDAP_Census2011_ST_Population,9590756,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1466991,dcid:NDAP_Census2011_Workers_Total,17541589,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1466991,dcid:NDAP_Census2011_Children_0_6,5273194,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1168,dcid:NDAP_Census2011_Population_Total,25545198,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1168,dcid:NDAP_Census2011_Population_Male,12832895,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1168,dcid:NDAP_Census2011_Population_Female,12712303,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1168,dcid:NDAP_Census2011_Literate_Total,15379922,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1168,dcid:NDAP_Census2011_Literate_Male,8807893,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1168,dcid:NDAP_Census2011_Literate_Female,6572029,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1168,dcid:NDAP_Census2011_SC_Population,3274269,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1168,dcid:NDAP_Census2011_ST_Population,7822902,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1168,dcid:NDAP_Census2011_Workers_Total,12180225,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1168,dcid:NDAP_Census2011_Children_0_6,3661689,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1188,dcid:NDAP_Census2011_Population_Total,72626809,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1188,dcid:NDAP_Census2011_Population_Male,37612306,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1188,dcid:NDAP_Census2011_Population_Female,35014503,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1188,dcid:NDAP_Census2011_Literate_Total,42851169,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1188,dcid:NDAP_Census2011_Literate_Male,25174328,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1188,dcid:NDAP_Census2011_Literate_Female,17676841,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1188,dcid:NDAP_Census2011_SC_Population,11342320,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1188,dcid:NDAP_Census2011_ST_Population,15316784,Count,NDAP_Census2011_PCA,P1Y
2011,wikidataId/Q1188,dcid:NDAP_Census2011_Workers_Total,31574133,Count,NDAP_Census2011_PCA,P1Y
